trial_id,attempt_idx,start,end,duration,wrist_RR,wrist_DET,wrist_LAM,wrist_L_MAX,wrist_n_points,wrist_emb_dim,wrist_emb_delay,env_RR,env_DET,env_LAM,env_L_MAX,env_n_points,env_emb_dim,env_emb_delay,pair_id,condition,target_word,clue_giver_id,n_attempts,guesser_id,guessed,guess_time,n_turntakes,is_last_attempt
108_208_40_1_20250114_163328_christmas_board,1,0.72,6.72,6.0,0.0386,0.5186,0.7738,0.4667,137.0,8.0,9.0,0.0427,0.984,0.9999,5.996,1500,8,20,108_208,board,christmas,108,1,,False,,0,True
108_208_41_1_20250114_163344_trumpet_board,1,0.0,8.48,8.48,0.135,0.7862,0.8827,3.1667,255.0,8.0,7.0,0.1087,0.9894,0.995,1.352,1060,8,15,108_208,board,trumpet,108,1,,False,,0,True
108_208_42_1_20250114_163352_music_board,1,1.01,5.61,4.6,0.0331,0.4202,0.7479,1.0,120.0,8.0,10.0,0.001,0.1529,0.2029,0.26,1150,8,19,108_208,board,music,108,1,208.0,True,5.02,0,True
108_208_43_1_20250114_163408_hunger_board,1,1.17,5.17,4.0,0.0799,0.647,0.8887,0.4333,120.0,8.0,9.0,0.0699,0.9602,0.9942,3.992,500,8,17,108_208,board,hunger,108,3,208.0,True,13.17,4,False
108_208_43_1_20250114_163408_hunger_board,2,5.17,7.17,2.0,0.0839,0.7219,0.9735,1.6333,60.0,8.0,9.0,0.1445,0.9714,0.9998,1.992,250,8,17,108_208,board,hunger,108,3,208.0,True,13.17,4,False
108_208_43_1_20250114_163408_hunger_board,3,9.17,15.17,6.0,0.0771,0.6261,0.8411,2.7667,137.0,8.0,9.0,0.0463,0.9643,0.9973,5.728,717,8,17,108_208,board,hunger,108,3,208.0,True,13.17,4,True
108_208_45_1_20250114_163506_sushi_board,1,2.19,7.79,5.6,0.082,0.669,0.8621,0.7667,168.0,8.0,13.0,0.1509,0.9636,0.9935,3.36,467,8,40,108_208,board,sushi,208,1,108.0,True,3.18,0,True
108_208_46_1_20250114_163523_jungle_board,1,8.24,14.2,5.96,0.0898,0.4262,0.698,0.2333,178.0,8.0,6.0,0.0071,0.7079,0.9274,1.94,596,8,21,108_208,board,jungle,208,1,108.0,True,14.34,2,True
108_208_47_1_20250114_163536_yellow_board,1,2.67,9.46,6.79,0.0287,0.5309,0.7785,0.6,203.0,8.0,7.0,0.0155,0.9392,0.9647,1.248,1132,8,25,108_208,board,yellow,208,1,108.0,True,8.6,0,True
108_208_48_1_20250114_163634_flannel_board,1,1.65,3.65,2.0,1.0,0.9828,1.0,1.9667,60.0,8.0,16.0,0.3094,0.7689,0.9294,0.3,67,8,11,108_208,board,flannel,208,8,108.0,True,52.91,15,False
